account,date,daily_pnl,num_trades,avg_trade_size_usd,avg_trade_size_tokens,avg_fee,win_rate,long_ratio,timestamp,value,sentiment,activity_segment,pnl_std,consistency_segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,768.351892,41,422.4107317073171,13527.432682926828,5.24749082,0.6585365853658537,0.0,1735968600,73,Greed,Infrequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,16.923621,2,135.32,7.0,0.094722,1.0,0.0,1736055000,72,Greed,Infrequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,416.546688,101,217.69336633663366,280.9170766336634,7.715886,0.45544554455445546,0.0,1738387800,68,Greed,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,91,1328.6620879120878,861.1982417582417,35.3271459,0.054945054945054944,0.0,1738474200,60,Greed,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,8330.21747,73,1432.3072602739728,208.95294520547947,32.77112491,0.7671232876712328,0.0,1738560600,44,Fear,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,669.381363,70,414.13428571428574,13034.532142857142,9.363195900000001,0.6,0.0,1738647000,72,Greed,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,250.581483,69,217.15115942028987,434.2310886956522,5.21759794,0.5217391304347826,0.0,1740807000,20,Extreme Fear,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,439.634046,75,1251.5914666666667,108.92393212893333,19.67962575,0.6,0.0,1740893400,26,Fear,Frequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,494.669357,58,536.928448275862,133.52586206896552,9.075943,0.3620689655172414,0.0,1740979800,33,Fear,Infrequent,3369.1192504660335,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,149.51234499999998,85,453.3190588235294,17395.791764705882,12.648717,0.11764705882352941,0.0,1741066200,15,Extreme Fear,Frequent,3369.1192504660335,Consistent
